zip_code,percent_change,equity_risk,2008_avg_salespr,2009_avg_salespr,2010_avg_salespr,2011_avg_salespr,2012_avg_salespr,2013_avg_salespr,2014_avg_salespr,2015_avg_salespr,2016_avg_salespr,2017_avg_salespr,2018_avg_salespr,2019_avg_salespr
98422,0.298887122416534,True,315440.0,287208.3333333333,269100.0,253325.0,244125.0,242683.33333333334,265675.0,285383.3333333333,331341.6666666667,356541.6666666667,398608.3333333333,419566.6666666667
8210,-0.17217506970869,False,251217.92599999998,226411.61916666682,224630.49916666676,209897.81333333338,197466.66666666666,221183.33333333334,207383.33333333334,194600.0,199408.33333333334,206466.66666666666,222291.66666666666,225175.0
39553,-0.41803424595492,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,244018.62500000032,230556.6366666667,104175.0,111750.0,113683.33333333333,126075.0
97060,0.302830801014767,True,251217.92599999998,205720.6616666667,197308.33333333334,177158.33333333334,176966.66666666666,213866.66666666666,221450.0,243541.66666666666,273083.3333333333,305391.6666666667,336008.3333333333,341425.0
33872,-0.0645614035087719,False,140200.0,109266.66666666667,97800.0,84916.66666666667,89441.66666666667,80958.33333333333,92050.0,108575.0,114258.33333333333,116316.66666666667,134641.66666666666,142791.66666666666
95212,0.420932338849059,True,251217.92599999998,217314.9858333334,188925.0,184891.66666666666,186250.0,223675.0,271883.3333333333,285316.6666666667,311408.3333333333,340041.6666666667,377875.0,387616.6666666667
21901,-0.126494286206747,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,195680.34916666674,196283.33333333334,192508.33333333334,181983.33333333334,198850.0,208733.33333333334,229091.66666666666,233308.33333333334
53012,0.148333191772423,True,251217.92599999998,226411.61916666682,224630.49916666676,232427.84833333315,245875.0,231441.66666666666,242400.0,261708.33333333334,270366.6666666667,276316.6666666667,328041.6666666667,338058.3333333333
80223,0.448415086646976,True,251217.92599999998,226411.61916666682,224630.49916666676,194417.6991666664,146016.66666666666,170983.33333333334,192833.33333333334,231966.66666666666,277925.0,309075.0,370191.6666666667,368050.0
55438,0.0591999556710705,True,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,244018.62500000032,255628.10250000004,267540.0775000003,260363.15416666673,238966.66666666666,295666.6666666667
34222,0.0603141211223374,True,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,188507.1366666667,211675.0,235558.33333333334,240500.0,262800.0,271308.3333333333
1570,-0.101611257795119,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,186211.73333333337,181150.0,186200.0,203583.33333333334,192400.0,219600.0,238808.33333333334,251266.66666666666
33896,-0.0273581053491221,False,206870.0,138783.33333333334,113266.66666666667,109783.33333333333,130525.0,151825.0,158008.33333333334,162483.33333333334,178133.33333333334,194375.0,210525.0,234083.33333333334
2842,0.661963464806466,True,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,212173.5833333333,231262.91083333353,307837.7875,340158.3333333333,359991.6666666667,382233.3333333333,380891.6666666667,385208.3333333333
32024,-0.213399191405565,False,251217.92599999998,226411.61916666682,224630.49916666676,211956.01999999984,122970.05833333329,116891.66666666667,127241.66666666667,140525.0,128158.33333333333,154291.66666666666,163858.33333333334,187533.33333333334
2476,1.69813733448469,True,251217.92599999998,226411.61916666682,224630.49916666676,386923.0783333332,461983.3333333333,473383.3333333333,532008.3333333334,541816.6666666666,572558.3333333334,634000.0,692608.3333333334,724841.6666666666
